SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.1300, 13, 0.07114106, -1.00270009, 0.02297019, -0.12279049, -0.08763811, -0.15581053, -42.47296143, 2.89389062, -110.11399841, -3.05838180, -5.10335636, 6.50217390, 0.99711281, 0.02409294, 0.04594489, -0.05544913, 0.00003836, 0.00314273, 0.00567114, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0500, 5, -0.07245460, -0.99329650, -0.06199605, -0.07288054, -1.00728166, 0.14433433, -28.79274940, 17.74334908, -100.00000000, -0.12730429, -0.20317541, -0.38851619, 0.99999213, 0.00111694, 0.00176926, 0.00339240, -0.00036828, 0.00023352, -0.00213506, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0600, 6, -0.07163329, -0.99317151, -0.06217932, 0.12116043, -0.90297574, 0.14682671, -29.34814262, 17.91873741, -100.81847382, -0.12544246, -0.20519738, -0.39732826, 0.99999183, 0.00110089, 0.00178688, 0.00346929, -0.00121526, 0.00002682, -0.00230541, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0700, 7, -0.07163229, -0.99263090, -0.06190744, 0.40420941, -0.55666053, 0.24028228, -29.34814262, 17.91873741, -100.81847382, -0.12100718, -0.20794271, -0.40243554, 0.99999166, 0.00106235, 0.00181092, 0.00351381, -0.00122047, 0.00020512, -0.00286015, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.07147537, -1.00235832, 0.02270377, 0.26994979, -0.04840492, -0.03626017, -42.50219345, 2.54311609, -109.90938568, -3.05571818, -5.10300732, 6.50127220, 0.99711394, 0.02407030, 0.04594037, -0.05544244, -0.00033806, 0.00287542, 0.00536622, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, 0.07290291, -1.00517166, 0.02245848, 0.16412663, -0.18867789, -0.00601278, -42.38526535, 2.80619693, -109.93861389, -3.05420804, -5.10292339, 6.49914026, 0.99711537, 0.02405806, 0.04593847, -0.05542452, -0.00129901, 0.00238997, 0.00834341, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, 0.07466564, -1.00282454, 0.01968072, 0.41557369, -0.20302927, -0.11223686, -42.76527405, 2.71850324, -110.69862366, -3.05017853, -5.10179520, 6.49648666, 0.99711794, 0.02402463, 0.04592615, -0.05540333, -0.00343249, -0.00025340, 0.00610973, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, 0.07174816, -1.00410867, 0.01940627, 0.84487331, -0.09361310, -0.28445747, -42.47296143, 2.77696586, -110.55246735, -3.05496383, -5.09025812, 6.49592686, 0.99712151, 0.02407231, 0.04582797, -0.05539947, -0.00027787, -0.00069003, 0.00688039, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, 0.08470114, -0.99459517, -0.01090690, 0.08211389, 0.19720118, 0.24066223, -49.80999756, -17.04179955, -86.90441132, -1.16032815, 2.21173167, 12.94192314, 0.99337113, 0.01223418, -0.01803492, -0.11286701, -0.00349376, 0.00881895, -0.00174809, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0800, 8, -0.07307778, -0.99109703, -0.06359982, 0.72344863, -0.50492388, 0.34690037, -28.88044357, 18.44489861, -101.14001465, -0.11344573, -0.21171765, -0.40673152, 0.99999148, 0.00099655, 0.00184406, 0.00355121, 0.00026020, -0.00169570, -0.00418530, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0900, 9, -0.07424699, -0.99149698, -0.06541236, 0.65317601, -0.67829472, 0.34397408, -28.93890572, 18.56182289, -100.84770203, -0.14258139, -0.24398738, -0.41344079, 0.99999052, 0.00125193, 0.00212468, 0.00361058, 0.00120143, -0.00344340, -0.00359606, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1000, 10, -0.07584356, -0.99181032, -0.06268611, 0.95387709, -0.90294492, 0.34207135, -28.96813774, 18.82490540, -101.08155060, -0.13242389, -0.24796619, -0.42155513, 0.99999028, 0.00116357, 0.00215964, 0.00368124, 0.00234022, -0.00038808, -0.00333467, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1100, 11, -0.07861070, -0.99457103, -0.06243648, 0.95447642, -0.95519280, 0.37606329, -28.32505035, 18.32797432, -100.90616608, -0.12221359, -0.25231108, -0.43017179, 0.99998999, 0.00107477, 0.00219781, 0.00375628, 0.00484149, -0.00015007, -0.00040848, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, 0.07114034, -1.00390172, 0.01804215, 0.72559673, -0.51192528, -0.42000449, -41.82987213, 2.33849740, -110.43554688, -3.04803252, -5.08601952, 6.48977995, 0.99712747, 0.02401659, 0.04578644, -0.05534983, 0.00045380, -0.00198612, 0.00646865, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, 0.07144334, -1.00843441, 0.01973770, 0.71809733, -1.38093066, -0.31347764, -41.82987213, 2.33849740, -110.43554688, -3.04179764, -5.08266544, 6.47501040, 0.99713719, 0.02396992, 0.04575117, -0.05522465, 0.00095573, -0.00074805, 0.01108961, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1200, 12, -0.07984766, -0.99375528, -0.06037735, 0.70730776, -0.99030221, 0.37434748, -29.20198822, 18.32797432, -101.14001465, -0.11445621, -0.25666693, -0.43931320, 0.99998963, 0.00100740, 0.00223599, 0.00383595, 0.00606214, 0.00169661, -0.00125888, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2400, 20, 0.05415460, -1.00203395, 0.02095936, 1.27783942, -0.31438676, -0.36504304, -41.80064392, 1.84156680, -109.79245758, -2.96113658, -5.19181967, 6.40484142, 0.99714619, 0.02324177, 0.04664775, -0.05461930, 0.01512790, -0.00043307, 0.00222556, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, 0.07893652, -0.99565601, -0.01587388, 0.08332925, 0.64424062, 0.29834935, -50.77462769, -16.48640823, -86.64133453, -1.15895665, 2.20887613, 12.94838810, 0.99336535, 0.01222051, -0.01801082, -0.11292264, 0.00226396, 0.00382462, -0.00093964, 0.00000000, 0.00000000, 0.00000000, 0.00000000
